time_ns,uart_tx_pin,uart_rx_pin,tx_busy,tx_pend,rx_valid,tx_buf,rdata,cs,we,addr,wdata,overlap,accept
85,1,0,0,0,0,0,0,0,0,0,0,0,0
26125,1,1,0,0,0,0,0,0,0,0,0,0,0
43485,1,1,0,0,0,0,0,1,1,0,90,0,1
43495,1,1,0,1,0,90,0,0,0,0,0,0,0
52165,0,1,1,0,0,90,0,0,0,0,0,0,0
60845,0,0,1,0,0,90,0,0,0,0,0,0,0
69525,1,0,1,0,0,90,0,0,0,0,0,0,0
78205,0,1,1,0,0,90,0,0,0,0,0,0,0
82585,0,1,1,0,1,90,3,1,0,4,0,1,0
82595,0,1,1,0,1,90,0,0,0,0,3,1,0
82605,0,1,1,0,1,90,60,1,0,8,3,1,0
82615,0,1,1,0,0,90,0,0,0,0,0,0,0
86885,1,1,1,0,0,90,0,0,0,0,0,0,0
104245,0,1,1,0,0,90,0,0,0,0,0,0,0
112925,1,1,1,0,0,90,0,0,0,0,0,0,0
121605,0,1,1,0,0,90,0,0,0,0,0,0,0
130285,1,1,1,0,0,90,0,0,0,0,0,0,0
138965,1,1,0,0,0,90,0,0,0,0,0,0,0
138975,1,1,0,0,0,90,0,1,1,0,161,0,1
138985,1,1,0,1,0,161,0,0,0,0,0,0,0
147645,0,1,1,0,0,161,0,1,1,0,178,0,0
147655,0,1,1,0,0,161,0,0,0,0,0,0,0
156325,1,1,1,0,0,161,0,0,0,0,0,0,0
165005,0,1,1,0,0,161,0,0,0,0,0,0,0
199725,1,1,1,0,0,161,0,0,0,0,0,0,0
208405,0,1,1,0,0,161,0,0,0,0,0,0,0
217085,1,1,1,0,0,161,0,0,0,0,0,0,0
234445,1,1,0,0,0,161,0,0,0,0,0,0,0
338605,1,1,0,0,0,161,0,1,1,0,65,0,1
338615,1,1,0,1,0,65,0,0,0,0,0,0,0
347285,0,1,1,0,0,65,0,0,0,0,0,0,0
355965,1,1,1,0,0,65,0,0,0,0,0,0,0
364645,0,1,1,0,0,65,0,0,0,0,0,0,0
408045,1,1,1,0,0,65,0,0,0,0,0,0,0
416725,0,1,1,0,0,65,0,0,0,0,0,0,0
425405,1,1,1,0,0,65,0,0,0,0,0,0,0
434085,1,1,0,0,0,65,0,1,1,0,66,0,1
434095,1,1,0,1,0,66,0,0,0,0,0,0,0
442765,0,1,1,0,0,66,0,0,0,0,0,0,0
460125,1,1,1,0,0,66,0,0,0,0,0,0,0
468805,0,1,1,0,0,66,0,0,0,0,0,0,0
503525,1,1,1,0,0,66,0,0,0,0,0,0,0
512205,0,1,1,0,0,66,0,0,0,0,0,0,0
520885,1,1,1,0,0,66,0,0,0,0,0,0,0
529565,1,1,0,0,0,66,0,1,1,0,67,0,1
529575,1,1,0,1,0,67,0,0,0,0,0,0,0
538245,0,1,1,0,0,67,0,0,0,0,0,0,0
546925,1,1,1,0,0,67,0,0,0,0,0,0,0
564285,0,1,1,0,0,67,0,0,0,0,0,0,0
599005,1,1,1,0,0,67,0,0,0,0,0,0,0
607685,0,1,1,0,0,67,0,0,0,0,0,0,0
616365,1,1,1,0,0,67,0,0,0,0,0,0,0
