time_ns,uart_tx_pin,uart_rx_pin,cs_mmio,reg_off,mmio_we,mmio_wdata,mmio_rdata,pc,mem_addr,tx_busy,mon_valid,mon_data
36,1,1,0,0,0,0,0,0,0,0,0,0
46,1,1,0,0,0,0,0,0,0,0,0,0
56,1,1,0,0,0,0,0,0,0,0,0,0
66,1,1,0,0,0,0,0,0,0,0,0,0
76,1,1,0,0,0,0,0,0,0,0,0,0
86,1,1,0,0,0,0,0,0,0,0,0,0
96,1,1,0,0,0,0,0,0,0,0,0,0
106,1,1,0,0,0,0,0,0,0,0,0,0
116,1,1,0,0,0,0,0,0,0,0,0,0
126,1,1,0,0,0,0,0,0,0,0,0,0
136,1,1,0,0,0,0,0,4,0,0,0,0
146,1,1,0,0,0,0,0,8,0,0,0,0
156,1,1,1,0,0,0,0,12,16384,0,0,0
166,1,1,0,0,0,16384,0,16,65,0,0,0
176,1,1,1,1,0,0,0,16,16388,0,0,0
186,1,1,0,0,0,0,0,20,0,0,0,0
196,1,1,0,0,0,16384,0,24,0,0,0,0
206,1,1,0,0,0,0,0,28,0,0,0,0
216,1,1,1,0,1,65,0,32,16384,0,0,0
226,1,1,1,1,0,0,1,32,16388,0,0,0
236,1,1,0,0,0,0,0,36,0,0,0,0
246,1,1,0,0,0,16384,0,40,1,0,0,0
256,0,1,0,0,0,0,0,24,1,1,0,0
266,0,1,0,0,0,0,0,28,0,1,0,0
276,0,1,0,0,0,0,0,32,0,1,0,0
286,0,1,1,1,0,0,1,32,16388,1,0,0
296,1,1,0,0,0,0,0,36,0,1,0,0
306,1,1,0,0,0,16384,0,40,1,1,0,0
316,1,1,0,0,0,0,0,24,1,1,0,0
326,1,1,0,0,0,0,0,28,0,1,0,0
336,0,1,0,0,0,0,0,32,0,1,0,0
346,0,1,1,1,0,0,1,32,16388,1,0,0
356,0,1,0,0,0,0,0,36,0,1,0,0
366,0,1,0,0,0,16384,0,40,1,1,0,0
376,0,1,0,0,0,0,0,24,1,1,0,0
386,0,1,0,0,0,0,0,28,0,1,0,0
396,0,1,0,0,0,0,0,32,0,1,0,0
406,0,1,1,1,0,0,1,32,16388,1,0,0
416,0,1,0,0,0,0,0,36,0,1,0,0
426,0,1,0,0,0,16384,0,40,1,1,0,0
436,0,1,0,0,0,0,0,24,1,1,0,0
446,0,1,0,0,0,0,0,28,0,1,0,0
456,0,1,0,0,0,0,0,32,0,1,0,0
466,0,1,1,1,0,0,1,32,16388,1,0,0
476,0,1,0,0,0,0,0,36,0,1,0,0
486,0,1,0,0,0,16384,0,40,1,1,0,0
496,0,1,0,0,0,0,0,24,1,1,0,0
506,0,1,0,0,0,0,0,28,0,1,0,0
516,0,1,0,0,0,0,0,32,0,1,0,0
526,0,1,1,1,0,0,1,32,16388,1,0,0
536,1,1,0,0,0,0,0,36,0,1,0,0
546,1,1,0,0,0,16384,0,40,1,1,0,0
556,1,1,0,0,0,0,0,24,1,1,0,0
566,1,1,0,0,0,0,0,28,0,1,0,0
576,0,1,0,0,0,0,0,32,0,1,0,0
586,0,1,1,1,0,0,1,32,16388,1,0,0
596,0,1,0,0,0,0,0,36,0,1,0,0
606,0,1,0,0,0,16384,0,40,1,1,0,0
616,1,1,0,0,0,0,0,24,1,1,0,0
626,1,1,0,0,0,0,0,28,0,1,0,0
636,1,1,0,0,0,0,0,32,0,1,0,0
646,1,1,1,1,0,0,1,32,16388,1,0,0
656,1,1,0,0,0,0,0,36,0,0,0,0
666,1,1,0,0,0,16384,0,40,1,0,1,65
676,1,1,0,0,0,0,0,24,1,0,0,65
686,1,1,0,0,0,0,0,28,0,0,0,65
696,1,1,0,0,0,0,0,32,0,0,0,65
706,1,1,1,1,0,0,0,32,16388,0,0,65
716,1,1,0,0,0,0,0,36,0,0,0,65
726,1,1,0,0,0,16384,0,40,0,0,0,65
736,1,1,0,0,0,0,0,44,0,0,0,65
746,1,1,1,1,0,0,0,44,16388,0,0,65
756,1,1,0,0,0,0,0,48,0,0,0,65
766,1,1,0,0,0,65,0,52,0,0,0,65
776,1,1,0,0,0,0,0,36,0,0,0,65
786,1,1,0,0,0,0,0,40,0,0,0,65
796,1,1,0,0,0,0,0,44,0,0,0,65
806,1,1,1,1,0,0,0,44,16388,0,0,65
816,1,1,0,0,0,0,0,48,0,0,0,65
826,1,1,0,0,0,65,0,52,0,0,0,65
836,1,1,0,0,0,0,0,36,0,0,0,65
846,1,1,0,0,0,0,0,40,0,0,0,65
856,1,1,0,0,0,0,0,44,0,0,0,65
866,1,1,1,1,0,0,0,44,16388,0,0,65
876,1,1,0,0,0,0,0,48,0,0,0,65
