cycle,pc,if_inst,id_inst,ex_inst,mem_inst,wb_inst,idex_pc,idex_rd,idex_op,idex_rs1,alu_a,alu_b,alu_out,exmem_alu,memwb_rd,memwb_rdata,wb_we,wb_rd,wb_data,stall,br_taken,br_target,fwd_a,fwd_b
1,8,2130355,5243155,3145875,0,0,0,1,0,0,0,3,3,0,0,x,0,0,0,0,0,3,0,0
2,12,1074856499,2130355,5243155,3145875,0,4,2,0,0,0,5,5,3,0,x,0,0,0,0,0,9,0,0
3,16,2159283,1074856499,2130355,5243155,3145875,8,3,0,0,3,5,8,5,1,x,1,1,3,0,0,8,2,1
4,20,2155315,2159283,1074856499,2130355,5243155,12,4,1,0,5,3,2,8,2,x,1,2,5,0,0,12,2,0
5,24,2147251,2155315,2159283,1074856499,2130355,16,5,3,3,3,5,1,2,3,x,1,3,8,0,0,16,0,0
6,28,2135091,2147251,2155315,2159283,1074856499,20,6,4,3,3,5,7,1,4,x,1,4,2,0,0,20,0,0
7,32,2380979,2135091,2147251,2155315,2159283,24,7,5,3,3,5,6,7,5,x,1,5,1,0,0,24,0,0
8,36,4286579987,2380979,2135091,2147251,2155315,28,8,6,3,3,5,96,6,6,x,1,6,7,0,0,28,0,0
9,40,1075140019,4286579987,2380979,2135091,2147251,32,9,7,0,96,5,3,96,7,x,1,7,6,0,0,32,1,0
10,44,337459,1075140019,4286579987,2380979,2135091,36,10,0,0,0,4294967288,4294967288,3,8,x,1,8,96,0,0,28,0,0
11,48,341683,337459,1075140019,4286579987,2380979,40,11,8,0,4294967288,3,4294967295,4294967288,9,x,1,9,3,0,0,40,1,0
12,52,337683,341683,337459,1075140019,4286579987,44,12,2,0,4294967288,0,1,4294967295,10,0,1,10,4294967288,0,0,44,2,0
13,56,341907,337683,341683,337459,1075140019,48,13,9,4294967288,4294967288,0,0,1,11,0,1,11,4294967295,0,0,48,0,0
14,60,15779859,341907,337683,341683,337459,52,14,2,4294967288,4294967288,0,1,0,12,x,1,12,1,0,0,52,0,0
15,64,16836755,15779859,341907,337683,341683,56,15,9,4294967288,4294967288,0,0,1,13,x,1,13,0,0,0,56,0,0
16,68,32569619,16836755,15779859,341907,337683,60,16,5,3,3,15,12,0,14,x,1,14,1,0,0,75,0,1
17,72,4233619,32569619,16836755,15779859,341907,64,17,4,3,3,16,19,12,15,x,1,15,0,0,0,80,0,1
18,76,2742803,4233619,32569619,16836755,15779859,68,18,3,3,3,31,3,19,16,x,1,16,12,0,0,99,0,0
19,80,1076517523,2742803,4233619,32569619,16836755,72,19,6,3,3,4,48,3,17,x,1,17,19,0,0,76,0,0
20,84,1076189971,1076517523,2742803,4233619,32569619,76,20,7,0,48,2,12,48,18,x,1,18,3,0,0,78,1,0
21,88,305421239,1076189971,1076517523,2742803,4233619,80,21,8,0,12,2,3,12,19,x,1,19,48,0,0,82,1,0
22,92,24125475,305421239,1076189971,1076517523,2742803,84,22,8,4294967288,4294967288,2,4294967294,3,20,x,1,20,12,0,0,86,0,0
23,96,11267,24125475,305421239,1076189971,1076517523,88,23,4,96,0,305418240,305418240,4294967294,21,x,1,21,3,0,0,305418328,0,0
24,100,3219,11267,24125475,305421239,1076189971,92,0,0,0,0,0,0,305418240,22,0,1,22,4294967294,0,0,92,0,1
25,104,1082467,3219,11267,24125475,305421239,96,24,0,0,0,0,0,0,23,0,1,23,305418240,0,0,96,0,0
26,108,103812243,1082467,3219,11267,24125475,100,25,0,0,0,0,0,0,0,x,0,0,0,0,0,100,0,0
27,112,7343251,103812243,1082467,3219,11267,104,8,1,3,3,3,0,0,24,305418240,1,24,305418240,0,1,112,0,0
28,112,7343251,19,0,1082467,3219,0,0,0,0,0,0,0,0,25,305418240,1,25,0,0,0,0,0,0
29,116,2135139,7343251,19,0,1082467,112,0,0,0,0,0,0,0,8,305418240,0,8,0,0,0,112,0,0
30,120,92277907,2135139,7343251,19,0,112,25,0,0,0,7,7,0,0,305418240,0,0,0,0,0,119,0,0
31,124,8392047,92277907,2135139,7343251,19,116,8,1,3,3,5,4294967294,7,0,305418240,1,0,0,0,1,124,0,0
32,124,8392047,19,0,2135139,7343251,0,0,0,0,0,0,0,4294967294,25,x,1,25,7,0,0,0,0,0
33,128,80743571,8392047,19,0,2135139,124,0,0,0,0,0,0,0,8,0,0,8,4294967294,0,0,124,0,0
34,132,1870995,80743571,8392047,19,0,124,26,0,0,124,4,128,0,0,305418240,0,0,0,0,1,132,0,0
35,132,1870995,19,0,8392047,19,0,0,0,0,0,0,0,128,0,305418240,1,0,0,0,0,0,0,0
36,136,4197871,1870995,19,0,8392047,132,0,0,0,0,0,0,0,26,x,1,26,128,0,0,132,0,0
37,140,888423,4197871,1870995,19,0,132,25,0,7,7,1,8,0,0,305418240,0,0,0,0,0,133,0,0
38,144,0,888423,4197871,1870995,19,136,27,0,0,136,4,140,8,0,305418240,1,0,0,0,1,140,0,0
39,140,888423,19,0,4197871,1870995,0,0,0,0,0,0,0,140,25,x,1,25,8,0,0,0,0,0
