cycle,pc,if_inst,id_inst,ex_inst,mem_inst,wb_inst,idex_pc,idex_rd,idex_op,idex_rs1,alu_a,alu_b,alu_out,exmem_alu,memwb_rd,memwb_rdata,wb_we,wb_rd,wb_data,stall,br_taken,br_target,fwd_a,fwd_b
1,8,1114547,1081619,1048723,0,0,0,1,0,0,0,1,1,0,0,305418240,0,0,0,0,0,1,0,0
2,12,3153955,1114547,1081619,1048723,0,4,2,0,0,1,1,2,1,0,305418240,0,0,0,0,0,5,1,1
3,16,8707,3153955,1114547,1081619,1048723,8,3,0,0,2,1,3,2,1,X,1,1,1,0,0,8,1,2
4,20,1180307,8707,3153955,1114547,1081619,12,0,0,0,0,0,0,3,2,X,1,2,2,0,0,12,0,1
5,24,5251619,1180307,8707,3153955,1114547,16,4,0,0,0,0,0,0,3,X,1,3,3,1,0,16,0,0
6,24,5251619,1180307,0,8707,3153955,0,0,0,0,0,0,0,0,0,305418240,0,0,0,0,0,0,0,0
7,28,8963,5251619,1180307,0,8707,20,5,0,0,3,1,4,0,4,3,1,4,3,0,0,21,2,0
8,32,4203395,8963,5251619,1180307,0,24,4,0,0,0,4,4,4,0,3,0,0,0,0,0,28,0,1
9,36,6521907,4203395,8963,5251619,1180307,28,6,0,0,0,0,0,4,5,x,1,5,4,0,0,28,0,0
10,40,1311763,6521907,4203395,8963,5251619,32,7,0,0,0,4,4,0,4,x,0,4,4,1,0,36,0,0
11,40,1311763,6521907,0,4203395,8963,0,0,0,0,0,0,0,4,6,3,1,6,3,0,0,0,0,0
12,44,4392035,1311763,6521907,0,4203395,36,8,0,0,4,3,7,0,7,4,1,7,4,0,0,36,2,0
13,48,103810195,4392035,1311763,6521907,0,40,8,0,0,7,1,8,7,0,3,0,0,0,0,0,41,1,0
14,52,7341203,103810195,4392035,1311763,6521907,44,8,1,3,3,3,0,8,8,X,1,8,7,0,1,52,0,0
15,52,7341203,19,0,4392035,1311763,0,0,0,0,0,0,0,0,8,x,1,8,8,0,0,0,0,0
16,56,11535635,7341203,19,0,4392035,52,0,0,0,0,0,0,0,8,3,0,8,0,0,0,52,0,0
17,60,5571891,11535635,7341203,19,0,52,9,0,0,0,7,7,0,0,3,0,0,0,0,0,59,0,0
18,64,99,5571891,11535635,7341203,19,56,10,0,0,0,11,11,7,0,3,1,0,0,0,0,67,0,0
19,68,0,99,5571891,11535635,7341203,60,10,0,0,11,4,15,11,9,X,1,9,7,0,0,60,1,0
20,72,0,0,99,5571891,11535635,64,0,1,0,0,0,0,15,10,x,1,10,11,0,1,64,0,0
21,64,99,19,0,99,5571891,0,0,0,0,0,0,0,0,10,x,1,10,15,0,0,0,0,0
22,68,0,99,19,0,99,72,0,0,0,0,0,0,0,0,3,0,0,0,0,0,72,0,0
