cycle,pc,if_inst,id_inst,ex_inst,mem_inst,wb_inst,idex_pc,idex_rd,idex_op,idex_rs1,alu_a,alu_b,alu_out,exmem_alu,memwb_rd,memwb_rdata,wb_we,wb_rd,wb_data,stall,br_taken,br_target,fwd_a,fwd_b
1,8,362035,2098579,1050003,0,0,0,11,0,0,0,1,1,0,0,3,0,0,0,0,0,1,0,0
2,12,11896499,362035,2098579,1050003,0,4,11,0,0,0,2,2,1,0,3,0,0,0,0,0,6,0,0
3,16,1811,11896499,362035,2098579,1050003,8,12,0,0,2,0,2,2,11,67108864,1,11,1,0,0,8,1,0
4,20,99,1811,11896499,362035,2098579,12,13,0,1,2,2,4,2,11,262144,1,11,2,0,0,12,2,2
5,24,0,99,1811,11896499,362035,16,14,0,0,0,0,0,4,12,262144,1,12,2,0,0,16,0,0
6,28,0,0,99,1811,11896499,20,0,1,0,0,0,0,0,13,4,1,13,4,0,1,20,0,0
7,20,99,19,0,99,1811,0,0,0,0,0,0,0,0,14,3,1,14,0,0,0,0,0,0
8,24,0,99,19,0,99,28,0,0,0,0,0,0,0,0,3,0,0,0,0,0,28,0,0
9,28,0,0,99,19,0,20,0,1,0,0,0,0,0,0,3,0,0,0,0,1,20,0,0
10,20,99,19,0,99,19,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
11,24,0,99,19,0,99,28,0,0,0,0,0,0,0,0,3,0,0,0,0,0,28,0,0
12,28,0,0,99,19,0,20,0,1,0,0,0,0,0,0,3,0,0,0,0,1,20,0,0
13,20,99,19,0,99,19,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
14,24,0,99,19,0,99,28,0,0,0,0,0,0,0,0,3,0,0,0,0,0,28,0,0
15,28,0,0,99,19,0,20,0,1,0,0,0,0,0,0,3,0,0,0,0,1,20,0,0
16,20,99,19,0,99,19,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
17,24,0,99,19,0,99,28,0,0,0,0,0,0,0,0,3,0,0,0,0,0,28,0,0
18,28,0,0,99,19,0,20,0,1,0,0,0,0,0,0,3,0,0,0,0,1,20,0,0
19,20,99,19,0,99,19,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
20,24,0,99,19,0,99,28,0,0,0,0,0,0,0,0,3,0,0,0,0,0,28,0,0
21,28,0,0,99,19,0,20,0,1,0,0,0,0,0,0,3,0,0,0,0,1,20,0,0
22,20,99,19,0,99,19,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
23,24,0,99,19,0,99,28,0,0,0,0,0,0,0,0,3,0,0,0,0,0,28,0,0
24,28,0,0,99,19,0,20,0,1,0,0,0,0,0,0,3,0,0,0,0,1,20,0,0
25,20,99,19,0,99,19,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
26,24,0,99,19,0,99,28,0,0,0,0,0,0,0,0,3,0,0,0,0,0,28,0,0
27,28,0,0,99,19,0,20,0,1,0,0,0,0,0,0,3,0,0,0,0,1,20,0,0
28,20,99,19,0,99,19,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
